start_time	end_time	App	Cap	Gauge	Pad	Pen	Safety	Tip	Action	sequence	Dict_value
0.318	1.297	448.1	111.4	86.2	600.5	23.0	385.6	1600.0	Cap Off	DBBDADD	1845
1.319	1.599	417.1	85.0	108.2	569.6	17.7	404.4	1600.0	Cap Off	DBBDADD	1845
1.734	1.844	419.1	84.5	1600.0	584.1	2.0	401.1	1600.0	Cap Off	DBDDADD	1926
1.889	2.019	300.7	1.0	1600.0	501.1	38.0	493.5	1600.0	Cap Off	DADDBDD	1692
2.069	2.169	277.5	0.0	1600.0	508.5	22.4	515.9	1600.0	Cap Off	DADDADD	1683
2.409	2.849	327.3	0.0	254.2	669.8	39.0	455.1	1600.0	Cap Off	DADDBDD	1692
2.894	3.124	448.2	12.2	237.0	737.0	0.0	399.3	1600.0	Cap Off	DADDADD	1683
3.145	3.265	462.1	0.0	264.3	761.9	12.0	383.5	1600.0	Cap Off	DADDADD	1683
3.288	3.518	466.0	135.6	327.0	783.9	0.0	372.2	34.0	Cap Off	DBDDADB	1925
3.585	3.675	754.8	12.0	618.4	1175.6	323.4	1600.0	1600.0	Cap Off	DADDDDD	1701
3.714	3.794	925.6	23.7	655.1	1600.0	453.5	1600.0	1600.0	Cap Off	DADDDDD	1701
3.987	4.117	1600.0	30.0	757.6	1600.0	741.5	446.2	845.7	Cap Off	DBDDDDD	1944
4.135	4.225	1600.0	19.6	756.4	1600.0	742.7	438.6	862.7	Cap Off	DADDDDD	1701
4.268	4.418	1600.0	14.3	777.0	1600.0	764.4	449.7	885.7	Cap Off	DADDDDD	1701
4.433	4.643	1600.0	0.0	782.0	1600.0	767.6	448.8	883.4	Cap Off	DADDDDD	1701
4.837	4.927	1600.0	440.9	615.1	1600.0	483.3	0.0	487.0	Apply Tip	DDDDDAD	2181
4.963	5.183	1600.0	419.3	589.7	1600.0	471.5	6.0	475.8	Apply Tip	DDDDDAD	2181
5.263	5.383	862.1	434.9	561.4	1600.0	430.5	0.0	433.1	Apply Tip	DDDDDAD	2181
5.552	5.792	894.8	444.2	601.4	1600.0	457.3	7.3	457.0	Apply Tip	DDDDDAD	2181
5.852	6.062	838.3	437.5	538.9	1600.0	406.2	21.0	409.0	Apply Tip	DDDDDAD	2181
6.265	6.345	613.4	1600.0	507.3	966.1	263.2	31.1	250.0	Apply Tip	DDDDDBD	2184
6.363	6.443	524.2	1600.0	502.6	891.2	227.6	0.0	207.4	Apply Tip	DDDDDAD	2181
6.455	6.525	487.5	882.8	445.6	829.3	167.2	17.5	152.9	Apply Tip	DDDDDAD	2181
6.556	6.636	351.6	890.9	341.9	670.2	25.0	83.2	0.0	Apply Tip	DDDDABA	2164
6.652	6.742	346.1	902.1	339.2	663.1	16.0	65.5	1.0	Apply Tip	DDDDABA	2164
6.783	6.993	366.0	918.3	348.5	681.2	16.0	45.5	1600.0	Apply Tip	DDDDABD	2166
7.104	7.864	395.7	910.0	363.8	715.1	18.2	0.0	1600.0	Apply Tip	DDDDAAD	2163
7.883	8.103	386.9	899.5	361.8	707.2	10.0	1.0	1600.0	Apply Tip	DDDDAAD	2163
